año,Departamento,Municipio,Lugar Decomiso,Situacion,Autoridad que incauto,nom tipo especie,Nombre comun,Nombre cientifico,Cantidad
2008,RISARALDA,PEREIRA,ALTAGRACIA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,TORTUGA PIMPANO,KINOSTERNON SP.,1
2008,RISARALDA,PEREIRA,ARABIA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,MAMIFEROS,HOFFMANNI,CHOLOEPUS HOFFMANNI W.H. PETERS,1
2008,RISARALDA,DOSQUEBRADAS,MILÁN,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,MAMIFEROS,TITI PIEL ROJA,SAGUINUS LEUCOPUS,1
2008,RISARALDA,PEREIRA,LA FLORIDA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,TORTUGA ICOTEA,TRACHEMYS SCRIPTA,2
2008,RISARALDA,PEREIRA,VILLA SANTANA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,IGUANA,IGUANA IGUANA,1
2008,RISARALDA,PEREIRA,ZOOLOGICO MATECAÑA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,TORTUGA MORROCOY,GEOCHELONE CARBONARIA,1
2008,RISARALDA,PEREIRA,ZOOLOGICO MATECAÑA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,TORTUGA MORROCOY,GEOCHELONE CARBONARIA,1
2008,RISARALDA,PEREIRA,ZOOLOGICO MATECAÑA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,BOA,BOA CONSTRICTOR,1
2008,RISARALDA,PEREIRA,NACEDEROS,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,IGUANA,IGUANA IGUANA,2
2008,RISARALDA,PEREIRA,CAIMALITO,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,TORTUGA MORROCOY,GEOCHELONE CARBONARIA,1
2008,RISARALDA,PEREIRA,SECTOR ROCIO BAJO,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,TORTUGA PIMPANO,KINOSTERNON SP.,1
2008,RISARALDA,DOSQUEBRADAS,ZONA URBANA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,AVES,GUACAMAYEJA,ARA SEVERA,1
2008,RISARALDA,PEREIRA,PINARES,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,MAMIFEROS,PEREZOSO DE ANTIFAZ,BRADYPUS VARIEGATUS,1
2008,RISARALDA,DOSQUEBRADAS,GUADALUPE,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,MAMIFEROS,HOFFMANNI,CHOLOEPUS HOFFMANNI W.H. PETERS,1
2008,RISARALDA,LA VIRGINIA,CENTRO,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,MAMIFEROS,NOVENCNCTUS,DASYPUS NOVENCNCTUS,1
2008,RISARALDA,PEREIRA,CENTRO,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,REPTILES,TORTUGA CHARAPA,PODOCNEMYS EXPANSA,4
2008,RISARALDA,PEREIRA,CENTRO,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,MAMIFEROS,TITI PIEL ROJA,SAGUINUS LEUCOPUS,1
2008,RISARALDA,PEREIRA,CENTRO,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,AVES,SULPHURATUS,PITANGUS SULPHURATUS,3
2008,RISARALDA,PEREIRA,CENTRO,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,REPTILES,TORTUGA PIMPANO,KINOSTERNON SP.,1
2008,RISARALDA,PEREIRA,CENTRO,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,AVES,LORA FRENTIAMARILLA,AMAZONA AMAZONICA,1
2008,RISARALDA,PEREIRA,CENTRO,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,AVES,LORA FRENTIAMARILLA,AMAZONA OCHROCEPHALA,1
2008,RISARALDA,PEREIRA,CENTRO,ENTREGA VOLUNTARIA,ASOCIACIÓN PROTECTORA DE ANIMALES Y PLANTAS,REPTILES,TORTUGA ICOTEA,TRACHEMYS SCRIPTA,1
2008,RISARALDA,PEREIRA,ZOOLOGICO MATECAÑA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,MAMIFEROS,TITI PIEL ROJA,SAGUINUS LEUCOPUS,1
2008,RISARALDA,PEREIRA,TERMINAL DE TRANSPORTE,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,MAMIFEROS,ZORRO,DUSCICION THOUS,1
